len(selected_patterns):1; curr precision: 0.9982; curr recall: 0.0035; curr f1: 0.0069; curr tp: 541; curr fp: 1; curr fn: 155093; curr tn: 1516694; precision of pattern: 1.0; tp, abs. recall of pattern: 541; pattern: _ATOKEN_touchpad; pattern type: l0
len(selected_patterns):2; curr precision: 0.999; curr recall: 0.0065; curr f1: 0.0129; curr tp: 1007; curr fp: 1; curr fn: 154627; curr tn: 1516694; precision of pattern: 1.0; tp, abs. recall of pattern: 466; pattern: _ATOKEN_trackpad; pattern type: l0
len(selected_patterns):3; curr precision: 0.9926; curr recall: 0.0086; curr f1: 0.0171; curr tp: 1345; curr fp: 10; curr fn: 154289; curr tn: 1516685; precision of pattern: 1.0; tp, abs. recall of pattern: 338; pattern: _ATOKEN_adapter; pattern type: l0
len(selected_patterns):4; curr precision: 0.9925; curr recall: 0.0102; curr f1: 0.0202; curr tp: 1589; curr fp: 12; curr fn: 154045; curr tn: 1516683; precision of pattern: 1.0; tp, abs. recall of pattern: 244; pattern: _ATOKEN_hdmi; pattern type: l0
len(selected_patterns):5; curr precision: 0.9895; curr recall: 0.0115; curr f1: 0.0228; curr tp: 1791; curr fp: 19; curr fn: 153843; curr tn: 1516676; precision of pattern: 1.0; tp, abs. recall of pattern: 202; pattern: _ATOKEN_optical; pattern type: l0
len(selected_patterns):6; curr precision: 0.9899; curr recall: 0.0126; curr f1: 0.0249; curr tp: 1966; curr fp: 20; curr fn: 153668; curr tn: 1516675; precision of pattern: 1.0; tp, abs. recall of pattern: 175; pattern: _ATOKEN_wi-fi; pattern type: l0
len(selected_patterns):7; curr precision: 0.9907; curr recall: 0.0137; curr f1: 0.027; curr tp: 2132; curr fp: 20; curr fn: 153502; curr tn: 1516675; precision of pattern: 1.0; tp, abs. recall of pattern: 166; pattern: _ATOKEN_portability; pattern type: l0
len(selected_patterns):8; curr precision: 0.9871; curr recall: 0.0147; curr f1: 0.029; curr tp: 2294; curr fp: 30; curr fn: 153340; curr tn: 1516665; precision of pattern: 1.0; tp, abs. recall of pattern: 162; pattern: _ATOKEN_cable; pattern type: l0
len(selected_patterns):9; curr precision: 0.9879; curr recall: 0.0157; curr f1: 0.0309; curr tp: 2443; curr fp: 30; curr fn: 153191; curr tn: 1516665; precision of pattern: 1.0; tp, abs. recall of pattern: 149; pattern: _ATOKEN_osx; pattern type: l0
len(selected_patterns):10; curr precision: 0.9885; curr recall: 0.0166; curr f1: 0.0326; curr tp: 2580; curr fp: 30; curr fn: 153054; curr tn: 1516665; precision of pattern: 1.0; tp, abs. recall of pattern: 137; pattern: _ATOKEN_firewire; pattern type: l0
len(selected_patterns):11; curr precision: 0.9883; curr recall: 0.0174; curr f1: 0.0341; curr tp: 2703; curr fp: 32; curr fn: 152931; curr tn: 1516663; precision of pattern: 1.0; tp, abs. recall of pattern: 123; pattern: _ATOKEN_connectivity; pattern type: l0
len(selected_patterns):12; curr precision: 0.985; curr recall: 0.0182; curr f1: 0.0357; curr tp: 2826; curr fp: 43; curr fn: 152808; curr tn: 1516652; precision of pattern: 1.0; tp, abs. recall of pattern: 123; pattern: _ATOKEN_motherboard; pattern type: l0
len(selected_patterns):13; curr precision: 0.984; curr recall: 0.0189; curr f1: 0.0372; curr tp: 2947; curr fp: 48; curr fn: 152687; curr tn: 1516647; precision of pattern: 1.0; tp, abs. recall of pattern: 121; pattern: _ATOKEN_cd/dvd; pattern type: l0
