len(selected_patterns):1; curr precision: 0.9969; curr recall: 0.0103; curr f1: 0.0203; curr tp: 1599; curr fp: 5; curr fn: 154035; curr tn: 1516690; precision of pattern: 0.9975; tp, abs. recall of pattern: 1599; pattern: ('PROX_near1', '_ATOKEN_battery', 'TOKEN_life'); pattern type: l1
len(selected_patterns):2; curr precision: 0.9966; curr recall: 0.0205; curr f1: 0.0403; curr tp: 3197; curr fp: 11; curr fn: 152437; curr tn: 1516684; precision of pattern: 0.995; tp, abs. recall of pattern: 1598; pattern: ('PROX_near1', 'TOKEN_battery', '_ATOKEN_life'); pattern type: l1
len(selected_patterns):3; curr precision: 0.9951; curr recall: 0.0297; curr f1: 0.0577; curr tp: 4627; curr fp: 23; curr fn: 151007; curr tn: 1516672; precision of pattern: 0.9971; tp, abs. recall of pattern: 1430; pattern: ('DEP_amod', '_ATOKEN_drive', 'WORD'); pattern type: l1
len(selected_patterns):4; curr precision: 0.9937; curr recall: 0.0385; curr f1: 0.0742; curr tp: 5998; curr fp: 38; curr fn: 149636; curr tn: 1516657; precision of pattern: 0.9969; tp, abs. recall of pattern: 1371; pattern: ('PROX_near1', 'TOKEN_the', '_ATOKEN_price'); pattern type: l1
len(selected_patterns):5; curr precision: 0.9939; curr recall: 0.0439; curr f1: 0.0841; curr tp: 6830; curr fp: 42; curr fn: 148804; curr tn: 1516653; precision of pattern: 1.0; tp, abs. recall of pattern: 1223; pattern: ('PROX_near1', 'TOKEN_the', '_ATOKEN_battery'); pattern type: l1
len(selected_patterns):6; curr precision: 0.9943; curr recall: 0.0506; curr f1: 0.0963; curr tp: 7875; curr fp: 45; curr fn: 147759; curr tn: 1516650; precision of pattern: 0.996; tp, abs. recall of pattern: 1045; pattern: ('DEP_nsubj', 'WORD', '_ATOKEN_keyboard'); pattern type: l1
len(selected_patterns):7; curr precision: 0.9942; curr recall: 0.0514; curr f1: 0.0977; curr tp: 7999; curr fp: 47; curr fn: 147635; curr tn: 1516648; precision of pattern: 1.0; tp, abs. recall of pattern: 1036; pattern: ('PROX_near1', 'TOKEN_hard', '_ATOKEN_drive'); pattern type: l1
len(selected_patterns):8; curr precision: 0.9943; curr recall: 0.0575; curr f1: 0.1087; curr tp: 8951; curr fp: 51; curr fn: 146683; curr tn: 1516644; precision of pattern: 1.0; tp, abs. recall of pattern: 952; pattern: ('PROX_near1', '_ATOKEN_screen', 'TOKEN_is'); pattern type: l1
len(selected_patterns):9; curr precision: 0.9944; curr recall: 0.0582; curr f1: 0.11; curr tp: 9063; curr fp: 51; curr fn: 146571; curr tn: 1516644; precision of pattern: 1.0; tp, abs. recall of pattern: 861; pattern: ('DEP_det', '_ATOKEN_battery', 'TOKEN_the'); pattern type: l1
len(selected_patterns):10; curr precision: 0.9939; curr recall: 0.0598; curr f1: 0.1127; curr tp: 9300; curr fp: 57; curr fn: 146334; curr tn: 1516638; precision of pattern: 1.0; tp, abs. recall of pattern: 725; pattern: ('DEP_det', '_ATOKEN_drive', 'TOKEN_the'); pattern type: l1
len(selected_patterns):11; curr precision: 0.9932; curr recall: 0.0607; curr f1: 0.1144; curr tp: 9445; curr fp: 65; curr fn: 146189; curr tn: 1516630; precision of pattern: 1.0; tp, abs. recall of pattern: 715; pattern: ('SRL_arg1', 'TOKEN_is', '_ATOKEN_keyboard'); pattern type: l1
