len(selected_patterns):1; curr precision: 0.9992; curr recall: 0.0121; curr f1: 0.0238; curr tp: 1317; curr fp: 1; curr fn: 107834; curr tn: 1563177; precision of pattern: 0.9966; tp, abs. recall of pattern: 1317; pattern: ('DEP_cop', '_OTOKEN_great', 'WORD'); pattern type: l1
len(selected_patterns):2; curr precision: 0.9993; curr recall: 0.0123; curr f1: 0.0243; curr tp: 1340; curr fp: 1; curr fn: 107811; curr tn: 1563177; precision of pattern: 0.9965; tp, abs. recall of pattern: 1240; pattern: ('DEP_nsubj', '_OTOKEN_great', 'WORD'); pattern type: l1
len(selected_patterns):3; curr precision: 0.9994; curr recall: 0.0148; curr f1: 0.0292; curr tp: 1615; curr fp: 1; curr fn: 107536; curr tn: 1563177; precision of pattern: 0.9961; tp, abs. recall of pattern: 1239; pattern: ('DEP_punct', '_OTOKEN_great', 'WORD'); pattern type: l1
len(selected_patterns):4; curr precision: 0.9979; curr recall: 0.0256; curr f1: 0.0499; curr tp: 2793; curr fp: 6; curr fn: 106358; curr tn: 1563172; precision of pattern: 0.9963; tp, abs. recall of pattern: 1178; pattern: _OTOKEN_perfect; pattern type: l0
len(selected_patterns):5; curr precision: 0.9984; curr recall: 0.0351; curr f1: 0.0678; curr tp: 3833; curr fp: 6; curr fn: 105318; curr tn: 1563172; precision of pattern: 1.0; tp, abs. recall of pattern: 1170; pattern: ('SRL_none', 'WORD', '_OTOKEN_great'); pattern type: l1
len(selected_patterns):6; curr precision: 0.9952; curr recall: 0.0457; curr f1: 0.0874; curr tp: 4987; curr fp: 24; curr fn: 104164; curr tn: 1563154; precision of pattern: 1.0; tp, abs. recall of pattern: 1154; pattern: ('SRL_arg2', 'TOKEN_is', '_OTOKEN_good'); pattern type: l1
len(selected_patterns):7; curr precision: 0.9952; curr recall: 0.0458; curr f1: 0.0875; curr tp: 4996; curr fp: 24; curr fn: 104155; curr tn: 1563154; precision of pattern: 1.0; tp, abs. recall of pattern: 1125; pattern: ('DEP_root', 'WORD', '_OTOKEN_great'); pattern type: l1
len(selected_patterns):8; curr precision: 0.9943; curr recall: 0.0493; curr f1: 0.094; curr tp: 5386; curr fp: 31; curr fn: 103765; curr tn: 1563147; precision of pattern: 0.9963; tp, abs. recall of pattern: 1077; pattern: ('DEP_cop', '_OTOKEN_good', 'WORD'); pattern type: l1
len(selected_patterns):9; curr precision: 0.9938; curr recall: 0.0589; curr f1: 0.1113; curr tp: 6433; curr fp: 40; curr fn: 102718; curr tn: 1563138; precision of pattern: 1.0; tp, abs. recall of pattern: 1047; pattern: ('PROX_near1', '_OTOKEN_easy', 'TOKEN_to'); pattern type: l1
len(selected_patterns):10; curr precision: 0.9932; curr recall: 0.0618; curr f1: 0.1164; curr tp: 6747; curr fp: 46; curr fn: 102404; curr tn: 1563132; precision of pattern: 0.9961; tp, abs. recall of pattern: 1019; pattern: ('DEP_punct', '_OTOKEN_good', 'WORD'); pattern type: l1
len(selected_patterns):11; curr precision: 0.9931; curr recall: 0.0619; curr f1: 0.1166; curr tp: 6761; curr fp: 47; curr fn: 102390; curr tn: 1563131; precision of pattern: 0.996; tp, abs. recall of pattern: 1016; pattern: ('DEP_nsubj', '_OTOKEN_good', 'WORD'); pattern type: l1
len(selected_patterns):12; curr precision: 0.993; curr recall: 0.0647; curr f1: 0.1215; curr tp: 7066; curr fp: 50; curr fn: 102085; curr tn: 1563128; precision of pattern: 1.0; tp, abs. recall of pattern: 987; pattern: ('SRL_arg2', 'WORD', '_OTOKEN_easy'); pattern type: l1
len(selected_patterns):13; curr precision: 0.9938; curr recall: 0.0736; curr f1: 0.1371; curr tp: 8035; curr fp: 50; curr fn: 101116; curr tn: 1563128; precision of pattern: 1.0; tp, abs. recall of pattern: 969; pattern: _OTOKEN_excellent; pattern type: l0
len(selected_patterns):14; curr precision: 0.9938; curr recall: 0.0746; curr f1: 0.1388; curr tp: 8143; curr fp: 51; curr fn: 101008; curr tn: 1563127; precision of pattern: 1.0; tp, abs. recall of pattern: 948; pattern: ('DEP_root', 'WORD', '_OTOKEN_good'); pattern type: l1
len(selected_patterns):15; curr precision: 0.9941; curr recall: 0.0813; curr f1: 0.1504; curr tp: 8877; curr fp: 53; curr fn: 100274; curr tn: 1563125; precision of pattern: 1.0; tp, abs. recall of pattern: 797; pattern: ('DEP_xcomp', 'WORD', '_OTOKEN_great'); pattern type: l1
len(selected_patterns):16; curr precision: 0.9941; curr recall: 0.086; curr f1: 0.1584; curr tp: 9390; curr fp: 56; curr fn: 99761; curr tn: 1563122; precision of pattern: 1.0; tp, abs. recall of pattern: 779; pattern: ('SRL_none', 'WORD', '_OTOKEN_good'); pattern type: l1
len(selected_patterns):17; curr precision: 0.9941; curr recall: 0.0863; curr f1: 0.1588; curr tp: 9419; curr fp: 56; curr fn: 99732; curr tn: 1563122; precision of pattern: 1.0; tp, abs. recall of pattern: 715; pattern: ('DEP_punct', '_OTOKEN_easy', 'WORD'); pattern type: l1
len(selected_patterns):18; curr precision: 0.9941; curr recall: 0.0865; curr f1: 0.1591; curr tp: 9438; curr fp: 56; curr fn: 99713; curr tn: 1563122; precision of pattern: 1.0; tp, abs. recall of pattern: 681; pattern: ('PROX_near1', '_OTOKEN_great', 'TOKEN_.'); pattern type: l1
