len(selected_patterns):1; curr precision: 0.9866; curr recall: 0.0024; curr f1: 0.0047; curr tp: 367; curr fp: 5; curr fn: 153798; curr tn: 1353354; precision of pattern: 1.0; tp, abs. recall of pattern: 367; pattern: _ATOKEN_decor; pattern type: l0
len(selected_patterns):2; curr precision: 0.9675; curr recall: 0.0035; curr f1: 0.0069; curr tp: 536; curr fp: 18; curr fn: 153629; curr tn: 1353341; precision of pattern: 1.0; tp, abs. recall of pattern: 169; pattern: _ATOKEN_ribs; pattern type: l0
len(selected_patterns):3; curr precision: 0.9737; curr recall: 0.0046; curr f1: 0.0091; curr tp: 704; curr fp: 19; curr fn: 153461; curr tn: 1353340; precision of pattern: 1.0; tp, abs. recall of pattern: 168; pattern: _ATOKEN_calamari; pattern type: l0
len(selected_patterns):4; curr precision: 0.9731; curr recall: 0.0056; curr f1: 0.0112; curr tp: 867; curr fp: 24; curr fn: 153298; curr tn: 1353335; precision of pattern: 1.0; tp, abs. recall of pattern: 163; pattern: _ATOKEN_dumplings; pattern type: l0
len(selected_patterns):5; curr precision: 0.9735; curr recall: 0.0064; curr f1: 0.0128; curr tp: 990; curr fp: 27; curr fn: 153175; curr tn: 1353332; precision of pattern: 1.0; tp, abs. recall of pattern: 123; pattern: _ATOKEN_bartenders; pattern type: l0
len(selected_patterns):6; curr precision: 0.9746; curr recall: 0.0072; curr f1: 0.0143; curr tp: 1113; curr fp: 29; curr fn: 153052; curr tn: 1353330; precision of pattern: 1.0; tp, abs. recall of pattern: 123; pattern: _ATOKEN_mussels; pattern type: l0
len(selected_patterns):7; curr precision: 0.9746; curr recall: 0.008; curr f1: 0.0158; curr tp: 1226; curr fp: 32; curr fn: 152939; curr tn: 1353327; precision of pattern: 1.0; tp, abs. recall of pattern: 113; pattern: _ATOKEN_scallops; pattern type: l0
len(selected_patterns):8; curr precision: 0.9751; curr recall: 0.0086; curr f1: 0.0171; curr tp: 1332; curr fp: 34; curr fn: 152833; curr tn: 1353325; precision of pattern: 1.0; tp, abs. recall of pattern: 106; pattern: _ATOKEN_hummus; pattern type: l0
len(selected_patterns):9; curr precision: 0.9742; curr recall: 0.0093; curr f1: 0.0184; curr tp: 1435; curr fp: 38; curr fn: 152730; curr tn: 1353321; precision of pattern: 1.0; tp, abs. recall of pattern: 103; pattern: _ATOKEN_nachos; pattern type: l0
len(selected_patterns):10; curr precision: 0.9703; curr recall: 0.01; curr f1: 0.0197; curr tp: 1537; curr fp: 47; curr fn: 152628; curr tn: 1353312; precision of pattern: 1.0; tp, abs. recall of pattern: 102; pattern: _ATOKEN_tortilla; pattern type: l0
len(selected_patterns):11; curr precision: 0.9698; curr recall: 0.0106; curr f1: 0.021; curr tp: 1636; curr fp: 51; curr fn: 152529; curr tn: 1353308; precision of pattern: 1.0; tp, abs. recall of pattern: 99; pattern: _ATOKEN_naan; pattern type: l0
len(selected_patterns):12; curr precision: 0.9704; curr recall: 0.0113; curr f1: 0.0223; curr tp: 1735; curr fp: 53; curr fn: 152430; curr tn: 1353306; precision of pattern: 1.0; tp, abs. recall of pattern: 99; pattern: _ATOKEN_chowder; pattern type: l0
len(selected_patterns):13; curr precision: 0.9692; curr recall: 0.0119; curr f1: 0.0234; curr tp: 1828; curr fp: 58; curr fn: 152337; curr tn: 1353301; precision of pattern: 1.0; tp, abs. recall of pattern: 93; pattern: _ATOKEN_grits; pattern type: l0
len(selected_patterns):14; curr precision: 0.9692; curr recall: 0.0125; curr f1: 0.0246; curr tp: 1920; curr fp: 61; curr fn: 152245; curr tn: 1353298; precision of pattern: 1.0; tp, abs. recall of pattern: 92; pattern: _ATOKEN_buns; pattern type: l0
len(selected_patterns):15; curr precision: 0.9696; curr recall: 0.013; curr f1: 0.0257; curr tp: 2011; curr fp: 63; curr fn: 152154; curr tn: 1353296; precision of pattern: 1.0; tp, abs. recall of pattern: 91; pattern: _ATOKEN_sangria; pattern type: l0
len(selected_patterns):16; curr precision: 0.9691; curr recall: 0.0136; curr f1: 0.0269; curr tp: 2101; curr fp: 67; curr fn: 152064; curr tn: 1353292; precision of pattern: 1.0; tp, abs. recall of pattern: 90; pattern: _ATOKEN_sashimi; pattern type: l0
len(selected_patterns):17; curr precision: 0.9669; curr recall: 0.0142; curr f1: 0.028; curr tp: 2189; curr fp: 75; curr fn: 151976; curr tn: 1353284; precision of pattern: 1.0; tp, abs. recall of pattern: 88; pattern: _ATOKEN_gyro; pattern type: l0
len(selected_patterns):18; curr precision: 0.9636; curr recall: 0.0148; curr f1: 0.0291; curr tp: 2274; curr fp: 86; curr fn: 151891; curr tn: 1353273; precision of pattern: 1.0; tp, abs. recall of pattern: 85; pattern: _ATOKEN_biscuits; pattern type: l0
len(selected_patterns):19; curr precision: 0.9648; curr recall: 0.0153; curr f1: 0.0301; curr tp: 2358; curr fp: 86; curr fn: 151807; curr tn: 1353273; precision of pattern: 1.0; tp, abs. recall of pattern: 84; pattern: _ATOKEN_enchiladas; pattern type: l0
len(selected_patterns):20; curr precision: 0.9656; curr recall: 0.0158; curr f1: 0.0312; curr tp: 2442; curr fp: 87; curr fn: 151723; curr tn: 1353272; precision of pattern: 1.0; tp, abs. recall of pattern: 84; pattern: _ATOKEN_gnocchi; pattern type: l0
len(selected_patterns):21; curr precision: 0.9641; curr recall: 0.0164; curr f1: 0.0322; curr tp: 2526; curr fp: 94; curr fn: 151639; curr tn: 1353265; precision of pattern: 1.0; tp, abs. recall of pattern: 84; pattern: _ATOKEN_tortillas; pattern type: l0
len(selected_patterns):22; curr precision: 0.9641; curr recall: 0.0169; curr f1: 0.0332; curr tp: 2607; curr fp: 97; curr fn: 151558; curr tn: 1353262; precision of pattern: 1.0; tp, abs. recall of pattern: 81; pattern: _ATOKEN_miso; pattern type: l0
len(selected_patterns):23; curr precision: 0.9641; curr recall: 0.0174; curr f1: 0.0343; curr tp: 2688; curr fp: 100; curr fn: 151477; curr tn: 1353259; precision of pattern: 1.0; tp, abs. recall of pattern: 81; pattern: _ATOKEN_waitstaff; pattern type: l0
len(selected_patterns):24; curr precision: 0.9641; curr recall: 0.018; curr f1: 0.0353; curr tp: 2768; curr fp: 103; curr fn: 151397; curr tn: 1353256; precision of pattern: 1.0; tp, abs. recall of pattern: 80; pattern: _ATOKEN_waitresses; pattern type: l0
len(selected_patterns):25; curr precision: 0.9631; curr recall: 0.0185; curr f1: 0.0362; curr tp: 2847; curr fp: 109; curr fn: 151318; curr tn: 1353250; precision of pattern: 1.0; tp, abs. recall of pattern: 79; pattern: _ATOKEN_chorizo; pattern type: l0
len(selected_patterns):26; curr precision: 0.9638; curr recall: 0.019; curr f1: 0.0372; curr tp: 2925; curr fp: 110; curr fn: 151240; curr tn: 1353249; precision of pattern: 1.0; tp, abs. recall of pattern: 78; pattern: _ATOKEN_octopus; pattern type: l0
len(selected_patterns):27; curr precision: 0.9647; curr recall: 0.0195; curr f1: 0.0382; curr tp: 3002; curr fp: 110; curr fn: 151163; curr tn: 1353249; precision of pattern: 1.0; tp, abs. recall of pattern: 77; pattern: _ATOKEN_caramel; pattern type: l0
len(selected_patterns):28; curr precision: 0.9654; curr recall: 0.0199; curr f1: 0.0391; curr tp: 3073; curr fp: 110; curr fn: 151092; curr tn: 1353249; precision of pattern: 1.0; tp, abs. recall of pattern: 71; pattern: _ATOKEN_risotto; pattern type: l0
len(selected_patterns):29; curr precision: 0.9641; curr recall: 0.0204; curr f1: 0.0399; curr tp: 3144; curr fp: 117; curr fn: 151021; curr tn: 1353242; precision of pattern: 1.0; tp, abs. recall of pattern: 71; pattern: _ATOKEN_tots; pattern type: l0
len(selected_patterns):30; curr precision: 0.9648; curr recall: 0.0208; curr f1: 0.0408; curr tp: 3210; curr fp: 117; curr fn: 150955; curr tn: 1353242; precision of pattern: 1.0; tp, abs. recall of pattern: 66; pattern: _ATOKEN_ravioli; pattern type: l0
len(selected_patterns):31; curr precision: 0.9638; curr recall: 0.0212; curr f1: 0.0416; curr tp: 3275; curr fp: 123; curr fn: 150890; curr tn: 1353236; precision of pattern: 1.0; tp, abs. recall of pattern: 65; pattern: _ATOKEN_pudding; pattern type: l0
len(selected_patterns):32; curr precision: 0.9636; curr recall: 0.0217; curr f1: 0.0424; curr tp: 3340; curr fp: 126; curr fn: 150825; curr tn: 1353233; precision of pattern: 1.0; tp, abs. recall of pattern: 65; pattern: _ATOKEN_pancake; pattern type: l0
len(selected_patterns):33; curr precision: 0.9629; curr recall: 0.0221; curr f1: 0.0432; curr tp: 3404; curr fp: 131; curr fn: 150761; curr tn: 1353228; precision of pattern: 1.0; tp, abs. recall of pattern: 64; pattern: _ATOKEN_pesto; pattern type: l0
len(selected_patterns):34; curr precision: 0.9625; curr recall: 0.0225; curr f1: 0.0439; curr tp: 3466; curr fp: 135; curr fn: 150699; curr tn: 1353224; precision of pattern: 1.0; tp, abs. recall of pattern: 62; pattern: _ATOKEN_paella; pattern type: l0
len(selected_patterns):35; curr precision: 0.9616; curr recall: 0.0229; curr f1: 0.0447; curr tp: 3528; curr fp: 141; curr fn: 150637; curr tn: 1353218; precision of pattern: 1.0; tp, abs. recall of pattern: 62; pattern: _ATOKEN_burritos; pattern type: l0
len(selected_patterns):36; curr precision: 0.9601; curr recall: 0.0233; curr f1: 0.0455; curr tp: 3589; curr fp: 149; curr fn: 150576; curr tn: 1353210; precision of pattern: 1.0; tp, abs. recall of pattern: 61; pattern: _ATOKEN_pineapple; pattern type: l0
len(selected_patterns):37; curr precision: 0.9598; curr recall: 0.0237; curr f1: 0.0462; curr tp: 3650; curr fp: 153; curr fn: 150515; curr tn: 1353206; precision of pattern: 1.0; tp, abs. recall of pattern: 61; pattern: _ATOKEN_plantains; pattern type: l0
len(selected_patterns):38; curr precision: 0.9574; curr recall: 0.0241; curr f1: 0.047; curr tp: 3710; curr fp: 165; curr fn: 150455; curr tn: 1353194; precision of pattern: 1.0; tp, abs. recall of pattern: 60; pattern: _ATOKEN_espresso; pattern type: l0
